id,hashtag
991433704575852544,1Mayıs
991433704575852544,1May
991433704575852544,MayDay
991102360733745157,EsmaUludağ
991724352595996672,Göttingen
991723996054937601,UCLfinal
991725587860459520,Afrin
991725587860459520,Turkey
988146901173329921,Lübnan
988146901173329921,Hilafet
988146901173329921,HilafetiİkameEdin
991370923524673536,Kurds
991370923524673536,Afrin
991370923524673536,Ghouta
991413646625574912,Efrin
991741628942602241,полк_Азов
991741628942602241,АЗОВ
991727699344244736,Trump2020
991755549812412417,TwitterKurds
991755549812412417,Rojava
991755549812412417,YPG
991755549812412417,YPJ
991755549812412417,SDF
991755549812412417,Syria
991755549812412417,Afrin
991755549812412417,Turkey
991755549812412417,StopAfrinGenocide
991755549812412417,BreakSilenceOnAfrin
991241865297997824,Afrin
991385657972084737,Antifa
991603649540427776,AfD
991603649540427776,Reil
991761874843648000,RomaLiverpool
991761874843648000,RomaLFC
991761874843648000,ROMLIV
991726590445826048,STAR
991726590445826048,Take3
982999654202859520,مترجم
982999654202859520,حصري
982999654202859520,سكس
982999654202859520,six
991746850184224768,Rojava
991796326860902400,DefendRojava
991685217860640768,MarchaPorLaEquiparacionYA
991775888290340865,DEMİRTAŞ
991804155122536449,BadIceCreamFlavours
991804155122536449,KeepAmericaGreat
991804155122536449,Trump2020
991299358388781056,SDF
991671768862658561,MehmetBaransu
991853539570868224,MAGA
991853539570868224,ThursdayThoughts
