id,author_id,created_at,lang,tweet_type,source,source_link,retweet_count,favorite_count,quote_count,reply_count,linked_tweet,linked_user,sensitive,access
991698032214396928,248829087,2018-05-02 15:16:50,tr,quote,Twitter for iPhone,http://twitter.com/download/iphone,14,8,0,3,9.915214897311826e+17,1494034783.0,False,2018-05-02 16:01:02
991521489731182592,1494034783,2018-05-02 03:35:19,tr,tweet,TweetDeck,https://about.twitter.com/products/tweetdeck,53,191,40,30,,,False,2018-05-02 16:01:02
991709156645236736,2385672272,2018-05-02 16:01:02,tr,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.916980322143969e+17,248829087.0,False,2018-05-02 16:01:02
991709328611725312,761337419392290816,2018-05-02 16:01:43,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.917089140299407e+17,326003773.0,False,2018-05-02 16:01:43
991710188418813954,849368218326138880,2018-05-02 16:05:08,tr,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.917089140299407e+17,326003773.0,False,2018-05-02 16:05:08
991711677384142853,1017662618,2018-05-02 16:11:03,en,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.917070642831565e+17,954124423.0,False,2018-05-02 16:11:03
991707064283156480,954124423,2018-05-02 15:52:43,en,tweet,Twitter Web Client,http://twitter.com,60,75,2,19,,,False,2018-05-02 16:11:03
991712457528836097,597769317,2018-05-02 16:14:09,tr,retweet,Twitter for iPad,http://twitter.com/#!/download/ipad,0,0,0,0,9.916833666710528e+17,8.126560509607322e+17,False,2018-05-02 16:14:09
991683366671052801,812656050960732161,2018-05-02 14:18:33,tr,tweet,Twitter for Android,http://twitter.com/download/android,1,5,0,2,,,False,2018-05-02 16:14:09
991712671446847494,828627471608184832,2018-05-02 16:15:00,en,tweet,Breivik Manifesto Bot,https://twitter.com/anderbot_,0,0,0,0,,,False,2018-05-02 16:15:00
991150407463374848,2252893931,2018-05-01 03:00:46,tr,tweet,Twitter for Android,http://twitter.com/download/android,45,29,1,0,,,False,2018-05-02 16:16:33
991713061542211584,825682538416971778,2018-05-02 16:16:33,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.911504074633748e+17,2252893931.0,False,2018-05-02 16:16:33
968061890344693760,833263613276200962,2018-02-26 09:55:15,ur,tweet,Twitter for Android,http://twitter.com/download/android,38,114,1,5,,,False,2018-05-02 16:18:40
991713594202099713,982669803444940800,2018-05-02 16:18:40,ur,retweet,Twitter Web Client,http://twitter.com,0,0,0,0,9.680618903446938e+17,8.33263613276201e+17,False,2018-05-02 16:18:40
991712260560244736,232108392,2018-05-02 16:13:22,en,quote,Twitter for Android,http://twitter.com/download/android,10,27,0,2,9.914726973130547e+17,3709329729.0,False,2018-05-02 16:20:21
991714017826754560,129314386,2018-05-02 16:20:21,en,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.917122605602447e+17,232108392.0,False,2018-05-02 16:20:21
991472697313054722,3709329729,2018-05-02 00:21:26,en,tweet,Twitter for Android,http://twitter.com/download/android,20,21,6,4,,,False,2018-05-02 16:20:21
991714164619071488,4866566489,2018-05-02 16:20:56,en,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.903862812880282e+17,18118505.0,False,2018-05-02 16:20:56
990386281288028160,18118505,2018-04-29 00:24:24,en,tweet,WordPress.com,http://publicize.wp.com/,32,41,2,6,,,True,2018-05-02 16:20:56
991714667960643584,932250638439854080,2018-05-02 16:22:56,en,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.917046644030464e+17,954124423.0,False,2018-05-02 16:22:56
991716295333830658,831869357240221697,2018-05-02 16:29:24,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.915700874747453e+17,4764985268.0,False,2018-05-02 16:29:24
991570087474745344,4764985268,2018-05-02 06:48:25,tr,tweet,Twitter Web Client,http://twitter.com,210,554,3,10,,,False,2018-05-02 16:29:24
991716442113527808,828288871075086336,2018-05-02 16:29:59,en,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.916442982099067e+17,8.139143937884815e+17,False,2018-05-02 16:29:59
991644298209906688,813914393788481540,2018-05-02 11:43:19,en,tweet,Twitter Web Client,http://twitter.com,54,163,5,31,,,False,2018-05-02 16:29:59
982702283459788800,869193235918454786,2018-04-07 19:30:56,und,tweet,Twitter for iPhone,http://twitter.com/download/iphone,595,1048,14,10,,,True,2018-05-02 16:48:05
991720997140099072,426409144,2018-05-02 16:48:05,und,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.827022834597888e+17,8.691932359184548e+17,True,2018-05-02 16:48:05
991721349449158656,782992706616393729,2018-05-02 16:49:29,en,reply,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.917200380413788e+17,235897523.0,False,2018-05-02 16:49:29
991721378817732609,852788402889961472,2018-05-02 16:49:36,es,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.916521596148654e+17,7.989875804275057e+17,False,2018-05-02 16:49:36
991652159614865409,798987580427505665,2018-05-02 12:14:33,es,quote,Twitter for Android,http://twitter.com/download/android,4,3,0,0,9.913527725272965e+17,66732993.0,False,2018-05-02 16:49:36
991352772527296512,66732993,2018-05-01 16:24:54,en,tweet,Twitter Web Client,http://twitter.com,12,10,1,0,,,False,2018-05-02 16:49:36
991722234455654400,3379584303,2018-05-02 16:53:00,en,retweet,Twitter Web Client,http://twitter.com,0,0,0,0,9.917070380727173e+17,103105127.0,False,2018-05-02 16:53:00
991707038072717313,103105127,2018-05-02 15:52:37,en,quote,Twitter Web Client,http://twitter.com,14,5,0,1,9.917046644030464e+17,954124423.0,False,2018-05-02 16:53:00
991722930718564352,227778796,2018-05-02 16:55:46,en,retweet,Twitter Web Client,http://twitter.com,0,0,0,0,9.917046644030464e+17,954124423.0,False,2018-05-02 16:55:46
991723996054937601,365854454,2018-05-02 17:00:00,en,tweet,TweetDeck,https://about.twitter.com/products/tweetdeck,0,0,0,0,,,False,2018-05-02 17:00:00
991724352595996672,213555363,2018-05-02 17:01:25,de,tweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,,,False,2018-05-02 17:01:25
991724457445265408,924171577,2018-05-02 17:01:50,tr,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,9.917089140299407e+17,326003773.0,False,2018-05-02 17:01:50
991724507772710915,2959431927,2018-05-02 17:02:02,und,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.913144898858394e+17,8.691932359184548e+17,False,2018-05-02 17:02:02
991725808006893569,937391743678517249,2018-05-02 17:07:12,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.917089140299407e+17,326003773.0,False,2018-05-02 17:07:12
991726030296580096,905403389466509313,2018-05-02 17:08:05,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,9.917247077990769e+17,92460378.0,False,2018-05-02 17:08:05
991726575560388610,2243345659,2018-05-02 17:10:15,tr,retweet,Twitter Lite,https://mobile.twitter.com,0,0,0,0,9.917089140299407e+17,326003773.0,False,2018-05-02 17:10:15
