id,author_id,created_at,tweet_type
991691636999708672,755390902064078848,2018-05-02 14:51:25,retweet
991102360733745157,2323137780,2018-04-30 23:49:51,tweet
991686033669488640,975074658331627522,2018-05-02 14:29:09,tweet
991691846731649025,1016063701,2018-05-02 14:52:15,tweet
991692102588403713,825016420803235841,2018-05-02 14:53:16,retweet
991433704575852544,847735496633536512,2018-05-01 21:46:29,tweet
991692241004527618,634806413,2018-05-02 14:53:49,retweet
991692803041316865,911604369551917061,2018-05-02 14:56:03,retweet
991694254278959104,4341845536,2018-05-02 15:01:49,tweet
991649165460541442,919273451743076353,2018-05-02 12:02:39,tweet
991696703752364033,2672595537,2018-05-02 15:11:33,retweet
991646124489498624,2574890250,2018-05-02 11:50:34,tweet
991697685215432704,761666619617714176,2018-05-02 15:15:27,retweet
991699086108577792,226224091,2018-05-02 15:21:01,tweet
991512017667174400,2596413645,2018-05-02 02:57:41,tweet
991700180813656065,562879928,2018-05-02 15:25:22,retweet
991476607251460096,738153522277945344,2018-05-02 00:36:58,tweet
991701745293254656,981737728273534976,2018-05-02 15:31:35,retweet
991558444195991552,871909680452444161,2018-05-02 06:02:10,tweet
991703028767051777,597769317,2018-05-02 15:36:41,retweet
991553694788476928,2294131202,2018-05-02 05:43:17,tweet
991703421207154688,2481491973,2018-05-02 15:38:15,tweet
991704324773433345,897619242,2018-05-02 15:41:50,retweet
991704819696975872,783003310219464704,2018-05-02 15:43:48,retweet
991640533771534337,3438438843,2018-05-02 11:28:21,tweet
991557250656407552,3685392135,2018-05-02 05:57:25,tweet
991705788602310656,945534542424756226,2018-05-02 15:47:39,retweet
991705826359377922,412463058,2018-05-02 15:47:48,retweet
991431912953733121,526110917,2018-05-01 21:39:22,tweet
991706363205210112,971604575701565441,2018-05-02 15:49:56,retweet
991705917476474881,954124423,2018-05-02 15:48:10,tweet
991706438723686403,313246922,2018-05-02 15:50:14,retweet
991707197867356160,832441166058500096,2018-05-02 15:53:15,retweet
