author_id,total_hashtags,different_hashtags
11325152,1,1
22153676,2,2
23074563,2,2
67813133,3,3
108524355,1,1
213555363,1,1
365854454,4,4
591505507,2,2
1077181999,1,1
2323137780,1,1
2596413645,4,3
2752052868,2,2
2927236667,10,10
3089497123,3,3
3298302672,1,1
702303494053634049,2,2
847735496633536512,3,3
926783183584145408,1,1
941680316506411009,1,1
955730343021219840,1,1
956988729402560513,1,1
963508481780322304,1,1
980116740972695552,4,4
