id,media_id,type,url
991433704575852544,991433693410492417,photo,https://pbs.twimg.com/media/DcJHsPoWAAEMvmM.jpg
991433704575852544,991433693418975232,photo,https://pbs.twimg.com/media/DcJHsPqXcAAfDRf.jpg
991433704575852544,991433693427269632,photo,https://pbs.twimg.com/media/DcJHsPsWAAAnvGl.jpg
991433704575852544,991433693431500800,photo,https://pbs.twimg.com/media/DcJHsPtWkAA3Amb.jpg
991558444195991552,991556513276678144,video,https://pbs.twimg.com/ext_tw_video_thumb/991556513276678144/pu/img/kvY_0XXtg8ZthI_1.jpg
991557250656407552,991557207559991297,photo,https://pbs.twimg.com/media/DcK4BtsXcAE_7Q0.jpg
991557250656407552,991557231140397061,photo,https://pbs.twimg.com/media/DcK4DFiX4AUthOv.jpg
968061890344693760,968061886280404992,photo,https://pbs.twimg.com/media/DW8_KBRWkAAyIuN.jpg
991150407463374848,991150393261518848,photo,https://pbs.twimg.com/media/DcFGCAVXcAA7_v2.jpg
991150407463374848,991150399473225728,photo,https://pbs.twimg.com/media/DcFGCXeWkAAQ3eQ.jpg
991683366671052801,991683360379621381,photo,https://pbs.twimg.com/media/DcMqwxkX0AUeEWT.jpg
991521489731182592,991521463424507905,photo,https://pbs.twimg.com/media/DcKXhIaX4AEZDk6.jpg
982702283459788800,982702276514021376,photo,https://pbs.twimg.com/media/DaNCg4-WAAAyqNF.jpg
991735282943881219,991734826872000513,photo,https://pbs.twimg.com/media/DcNZkhMW0AE2l0p.jpg
991710184492978177,991710071607513089,photo,https://pbs.twimg.com/media/DcNDDkpX0AEi87G.jpg
991710184492978177,991710071590703105,photo,https://pbs.twimg.com/media/DcNDDklXUAEC2IW.jpg
991710184492978177,991710151357935623,photo,https://pbs.twimg.com/media/DcNDINvWsAc6kQt.jpg
991747353467146243,991747335674834945,photo,https://pbs.twimg.com/media/DcNk8oHWsAEeAP-.jpg
991694921806598144,991694920078577666,photo,https://pbs.twimg.com/media/DcM1RozX0AIzw3h.jpg
991663540900687873,991663473674272770,photo,https://pbs.twimg.com/media/DcMYrN0VwAIZ4qG.jpg
985080449755119617,985080442071207936,photo,https://pbs.twimg.com/media/Dau1cWDW0AAcSXi.jpg
737710858709540865,737710856377503744,photo,https://pbs.twimg.com/media/CjzgHYVUkAAEdSd.jpg
