id,hashtag
991433704575852544,1Mayıs
991433704575852544,1May
991433704575852544,MayDay
991102360733745157,EsmaUludağ
991724352595996672,Göttingen
991723996054937601,UCLfinal
991725587860459520,Afrin
991725587860459520,Turkey
988146901173329921,Lübnan
988146901173329921,Hilafet
988146901173329921,HilafetiİkameEdin
991370923524673536,Kurds
991370923524673536,Afrin
991370923524673536,Ghouta
991413646625574912,Efrin
991741628942602241,полк_Азов
991741628942602241,АЗОВ
991727699344244736,Trump2020
991755549812412417,TwitterKurds
991755549812412417,Rojava
991755549812412417,YPG
991755549812412417,YPJ
991755549812412417,SDF
991755549812412417,Syria
991755549812412417,Afrin
991755549812412417,Turkey
991755549812412417,StopAfrinGenocide
991755549812412417,BreakSilenceOnAfrin
991241865297997824,Afrin
991385657972084737,Antifa
991603649540427776,AfD
991603649540427776,Reil
991761874843648000,RomaLiverpool
991761874843648000,RomaLFC
991761874843648000,ROMLIV
991726590445826048,STAR
991726590445826048,Take3
982999654202859520,مترجم
982999654202859520,حصري
982999654202859520,سكس
982999654202859520,six
991746850184224768,Rojava
991796326860902400,DefendRojava
991685217860640768,MarchaPorLaEquiparacionYA
991775888290340865,DEMİRTAŞ
991804155122536449,BadIceCreamFlavours
991804155122536449,KeepAmericaGreat
991804155122536449,Trump2020
991299358388781056,SDF
991671768862658561,MehmetBaransu
991853539570868224,MAGA
991853539570868224,ThursdayThoughts
870064724960055300,YPJ
870064724960055300,Raqqa
870064724960055300,ISIS
801219722507419648,MedalofFreedom
870246377175080960,Waffe
870187265556967424,Vatansağolsun
870166745323114497,Aşiret
870166745323114497,Halk
870166745323114497,Kürt
870166745323114497,Parti
870166745323114497,Politika
866780272678899714,amnesty
866780272678899714,journalist
866780272678899714,CihanAcar
866780272678899714,freeturkeymedia
870154584341303297,SONDAKİKA
869913805764952065,KamiBersamaHTI
869913805764952065,KhilafahAjaranIslam
870172659291635712,donnybrookstl
870243233665867776,Abschiebestopp
870243233665867776,Afghanistan
865721455937331200,Erdogan
865721455937331200,STOPERDOGAN
865721455937331200,arresterdoganbodyguards
865721455937331200,YPG
870189989463822336,Seyfo
870101210770149377,GulenMovement
870101210770149377,FethullahGulen
870242902873698304,YPJ
870242902873698304,ISIS
870283844750110720,VatanSağolsun
869984686201872384,KontrollüDarbe
870300144402563073,sevgicocukları
870300144402563073,iflc2017
870271217072095232,AsianHandicap
870330376962572288,Höxter
870330376962572288,Afrikaner
870330376962572288,freeKolja
870320663629881345,كلمة
870320663629881345,رمضان
870320663629881345,اليوتيوب
870146641205968898,UCLFinal
870334349719351297,ZalimlerİçinYaşasınnCehennem
870319951080546304,HizmetMovement
870319951080546304,HizmetSchools
870342935451062272,LFC
870237238680064000,MCFC
870152947862319105,Fürstenberg
870152947862319105,Sozialarbeiter
870152947862319105,freeKolja
870304507271540738,maketheJewsafraidagain
870262601846059008,YPJ
870262601846059008,ISIS
870318177967910912,Tabqa
870318177967910912,YPG
870318177967910912,YPJ
870318177967910912,SDF
870318177967910912,Twitterkurds
870304968632401920,America
870304968632401920,France
870041494715019264,WrathOfEuphrates
870041494715019264,YPJ
870041494715019264,ISIS
870041494715019264,Raqqa
870042225518030848,YPJ
870042225518030848,Raqqa
867102744108306437,PırlantaSözler
870360505403285504,LoveIsLove
870301479042678785,FreeKolja
870316541195149312,Islam
870316541195149312,Hizmet
869672883848708096,Ramadan
870349331391492097,dapl
870349331391492097,dogs
870349331391492097,blm
870421855571673088,Gezi
870421855571673088,EthemSarısülük
870313313477038081,Pride2017
870316737748664322,tarifsizacı
870355964733648896,ThursdayThoughts
869909965649178624,Gerswalde
869909965649178624,freekolja
870212452524412928,Turkish
870212452524412928,Rojava
870212452524412928,Syria
864018283959373824,hentai
864018283959373824,lewd
864018283959373824,hentaiteengirl
864018283959373824,reinohentai
870313567123382274,FreePalestineFreeTheWorld
870313567123382274,قروب_فلسطيني
870410264570724356,Rojava
870410264570724356,Raqqa
870414658703941632,MCFC
869772260181200896,Manchester
870393285105287169,Fingerabdrücke
870339258539794436,Kobane
870339258539794436,ISIS
870339258539794436,YPG
870339258539794436,YPJ
870339258539794436,Rojava
870345800475430913,fast
870345800475430913,iftar
870345800475430913,ramadan
870387132443111425,Rojava
870387132443111425,Raqqa
870335385678819329,MCFC
870335385678819329,PL
870408644717707265,ParisAgreement
866011712377565184,FakeNews
866011712377565184,surveillancecapitalism
870140146397528064,AmericaFirst
870462031899484161,Izlamathuz
870462031899484161,MAGA
870443229665218560,JewishSupremacism
870284971709263872,Genelkurmay
870284971709263872,Bajwa
870284971709263872,ABD
870284971709263872,Pakistan
869997807532351488,ParisAgreement
870388555620769793,KOD
870168240714121216,PanamaPapers
870409549018214401,Kurds
870409549018214401,YPG
864872832576172033,PırlantaSözler
870389363267575808,Fascism
870476687611498496,ISIS
870337303859908608,Hamdolsun
870468306062520322,ParisClimateDeal
870468306062520322,Maga
870468445808189445,resist
870468445808189445,theresistance
870468445808189445,maga
870468445808189445,democrats
870468445808189445,obamacare
870468445808189445,travelban
870468445808189445,dems
870600461543501824,dunningkruger
870349961581428736,CulturalDiplomacy
870349961581428736,HumanRights
870349961581428736,ISIS
870541871294107649,MuslimRapists
833294523002392577,HHX6
833294523002392577,OPWakeTFUp
870355017424830464,KızılDayanışma
870554621609218049,TwitterKurds
870423199418372097,VeliSaçılık
870614982232354818,LGBTQ
870583434602795008,HizmetSchools
870583434602795008,Africa
870583434602795008,MaarifFoundation
870324394140344320,HowToWriteGood
869159629250580480,Rojava
675429849939464194,SuatYıldırım
870581410997972992,MAGA
870392088990539777,ParisAccord
870392088990539777,ParisClimateDeal
870584758308352000,Manchester
870652086253498368,Suriye
