id,author_id,created_at,lang,tweet_type,source,source_link,retweet_count,favorite_count,quote_count,reply_count,linked_tweet,linked_user,sensitive,access
991691636999708672,755390902064078848,2018-05-02 14:51:25,tr,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,991102360733745157,2323137780,False,2018-05-02 14:51:25
991102360733745157,2323137780,2018-04-30 23:49:51,tr,tweet,Twitter for Android,http://twitter.com/download/android,65,45,3,5,,,False,2018-05-02 14:51:25
991686033669488640,975074658331627522,2018-05-02 14:29:09,tr,reply,Twitter for Android,http://twitter.com/download/android,0,0,0,0,991678616462348288,1016063701,False,2018-05-02 14:52:15
991691846731649025,1016063701,2018-05-02 14:52:15,tr,quote,Twitter Lite,https://mobile.twitter.com,0,0,0,0,991686033669488640,975074658331627522,False,2018-05-02 14:52:15
991692102588403713,825016420803235841,2018-05-02 14:53:16,und,retweet,Twitter for iPhone,http://twitter.com/download/iphone,0,0,0,0,991314489885839360,869193235918454786,False,2018-05-02 14:53:16
991433704575852544,847735496633536512,2018-05-01 21:46:29,en,reply,Twitter for iPhone,http://twitter.com/download/iphone,21,17,0,0,991433449704747008,847735496633536512,False,2018-05-02 14:53:49
991692241004527618,634806413,2018-05-02 14:53:49,en,retweet,Twitter Web Client,http://twitter.com,0,0,0,0,991433704575852544,847735496633536512,False,2018-05-02 14:53:49
991692803041316865,911604369551917061,2018-05-02 14:56:03,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,991617533194227712,487834443,False,2018-05-02 14:56:03
991694254278959104,4341845536,2018-05-02 15:01:49,tr,tweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,,,False,2018-05-02 15:01:49
991649165460541442,919273451743076353,2018-05-02 12:02:39,en,quote,Twitter Web Client,http://twitter.com,7,5,0,0,991646124489498624,2574890250,True,2018-05-02 15:11:33
991696703752364033,2672595537,2018-05-02 15:11:33,en,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,991649165460541442,919273451743076353,False,2018-05-02 15:11:33
991646124489498624,2574890250,2018-05-02 11:50:34,ar,tweet,Twitter for iPhone,http://twitter.com/download/iphone,1,8,1,0,,,False,2018-05-02 15:11:33
991697685215432704,761666619617714176,2018-05-02 15:15:27,tr,retweet,Twitter for Android,http://twitter.com/download/android,0,0,0,0,991664937457070080,311118058,False,2018-05-02 15:15:27
991699086108577792,226224091,2018-05-02 15:21:01,en,quote,Twitter Lite,https://mobile.twitter.com,0,0,0,0,991512017667174400,2596413645,False,2018-05-02 15:21:01
