id,author_id,created_at,tweet_type
870166174914555904,730634191583449088,2017-06-01 06:32:37,tweet
870137999513747458,4870875423,2017-06-01 04:40:40,tweet
870166317504114688,829734079348273152,2017-06-01 06:33:11,retweet
870135387091595264,190171522,2017-06-01 04:30:17,tweet
870166745323114497,381994185,2017-06-01 06:34:53,tweet
870166791494008833,758904623826554880,2017-06-01 06:35:04,retweet
870166795667349504,838018569732501508,2017-06-01 06:35:05,tweet
870167051503095808,289853015,2017-06-01 06:36:06,retweet
869948348194844676,86665649,2017-05-31 16:07:03,tweet
870167659681386496,289853015,2017-06-01 06:38:31,retweet
869954127266230273,86665649,2017-05-31 16:30:01,tweet
870168133654507520,3181126786,2017-06-01 06:40:24,retweet
870097518952157184,760497714652151808,2017-06-01 01:59:48,tweet
870169379341836288,93399809,2017-06-01 06:45:21,tweet
870169475844386816,1679214355,2017-06-01 06:45:44,retweet
870170822215950336,60757826,2017-06-01 06:51:05,retweet
870171673642840065,2185118415,2017-06-01 06:54:28,retweet
870172038530568192,537103668,2017-06-01 06:55:55,retweet
870172625749684224,305370073,2017-06-01 06:58:15,retweet
869913805764952065,497585578,2017-05-31 13:49:48,tweet
870172659291635712,20435808,2017-06-01 06:58:23,tweet
870174265722777600,2913020230,2017-06-01 07:04:46,retweet
870173972175998976,760497714652151808,2017-06-01 07:03:36,tweet
870174748071911424,835774479909416960,2017-06-01 07:06:41,retweet
870174861330718720,868874093411610627,2017-06-01 07:07:08,retweet
870175586915934208,4284214392,2017-06-01 07:10:01,retweet
870176148965269504,770968040188043264,2017-06-01 07:12:15,retweet
870177470187806721,821434985831927809,2017-06-01 07:17:30,retweet
870179777059205121,3299341955,2017-06-01 07:26:40,retweet
870007705783554048,487834443,2017-05-31 20:02:55,tweet
870180083222368256,2195842623,2017-06-01 07:27:53,retweet
870103928477757444,180113275,2017-06-01 02:25:16,tweet
866780272678899714,865689675985506304,2017-05-22 22:18:15,tweet
870180154521165824,2226051822,2017-06-01 07:28:10,retweet
870180624270860288,14051381,2017-06-01 07:30:02,retweet
870181971766505473,772412234727391233,2017-06-01 07:35:23,tweet
870182075525210112,273648929,2017-06-01 07:35:48,retweet
870182947953025028,826866286688927744,2017-06-01 07:39:16,retweet
870183430268612608,1692360356,2017-06-01 07:41:11,retweet
870036627057463297,2205302725,2017-05-31 21:57:51,tweet
869832580887183360,92460378,2017-05-31 08:27:02,tweet
870183694530695168,829526239,2017-06-01 07:42:14,retweet
870183887439151104,105081437,2017-06-01 07:43:00,retweet
870185003149254656,1040100182,2017-06-01 07:47:26,retweet
869789574339231744,7493052,2017-05-31 05:36:09,tweet
870185024099897344,863349046865530880,2017-06-01 07:47:31,retweet
870185326106390528,754901630101753856,2017-06-01 07:48:43,retweet
870185351259852801,2894398433,2017-06-01 07:48:49,tweet
870186903168884736,840781498177474560,2017-06-01 07:54:59,retweet
869871168928583680,3074775040,2017-05-31 11:00:22,tweet
870187008026591232,704422228943765505,2017-06-01 07:55:24,retweet
870187649763598337,824116734391152641,2017-06-01 07:57:57,retweet
870101210770149377,2209355419,2017-06-01 02:14:29,tweet
870187985307934720,824116734391152641,2017-06-01 07:59:17,retweet
870058004879523842,92460378,2017-05-31 23:22:47,tweet
870187265556967424,497244729,2017-06-01 07:56:26,tweet
870189080021266432,829734079348273152,2017-06-01 08:03:38,retweet
870189281318510592,932917880,2017-06-01 08:04:26,retweet
870149981432315905,190171522,2017-06-01 05:28:16,tweet
870150314497855489,92460378,2017-06-01 05:29:36,tweet
870190585747058688,712060580,2017-06-01 08:09:37,retweet
865721455937331200,628545424,2017-05-20 00:10:54,tweet
870191319775424512,869754912195915777,2017-06-01 08:12:32,retweet
870191420426117120,838455816646701057,2017-06-01 08:12:56,retweet
870184611422375936,824637734295928832,2017-06-01 07:45:53,tweet
870193697928904704,3072592149,2017-06-01 08:21:59,retweet
870105537396039682,399002713,2017-06-01 02:31:40,tweet
870195065272094722,738459945151148033,2017-06-01 08:27:25,retweet
870193088253374464,760497714652151808,2017-06-01 08:19:34,tweet
870022714660188160,760497714652151808,2017-05-31 21:02:34,tweet
870024290359549952,526110917,2017-05-31 21:08:49,tweet
870195669239083008,844840059505278977,2017-06-01 08:29:49,retweet
870189989463822336,2159335132,2017-06-01 08:07:15,tweet
870196017383079936,851915865985568772,2017-06-01 08:31:12,retweet
870197439260708864,1400169241,2017-06-01 08:36:51,tweet
870200274585047041,2850443278,2017-06-01 08:48:07,retweet
869550636773363712,2897665331,2017-05-30 13:46:41,tweet
869676319445045249,114452171,2017-05-30 22:06:07,tweet
870200408823803904,469190482,2017-06-01 08:48:39,retweet
870197415789436928,624801995,2017-06-01 08:36:46,tweet
870199669317660672,284694804,2017-06-01 08:45:43,tweet
870200597575868417,3324079008,2017-06-01 08:49:24,retweet
870200954100088834,2380597474,2017-06-01 08:50:49,retweet
870133544257032192,248829087,2017-06-01 04:22:57,tweet
869223732467949569,954124423,2017-05-29 16:07:41,tweet
870201172178722816,727132566,2017-06-01 08:51:41,retweet
870201918756331521,499592801,2017-06-01 08:54:39,retweet
